City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chhota udepur,22.3167,74.0167,300.25,32,30,1.27,IN,1681949220
1,rosarno,38.4841,15.979,286.71,72,37,2.32,IT,1681949220
2,grytviken,-54.2811,-36.5092,276.82,95,100,1.7,GS,1681949016
3,waitangi,-43.9535,-176.5597,290.83,89,94,4.02,NZ,1681949012
4,adamstown,-25.066,-130.1015,297.56,76,96,0.87,PN,1681949007
5,santa ana,33.7456,-117.8678,296.15,47,20,6.17,US,1681949215
6,puerto aysen,-45.4,-72.7,285.64,99,100,1.98,CL,1681949223
7,salinas,36.6777,-121.6555,293.14,56,0,6.17,US,1681949166
8,greenville,35.6127,-77.3663,296.55,50,0,0.0,US,1681949224
9,port-aux-francais,-49.35,70.2167,277.98,68,18,15.5,TF,1681948984
10,ilulissat,69.2167,-51.1,268.16,80,100,1.54,GL,1681948991
11,port lincoln,-34.7333,135.8667,289.71,57,94,2.93,AU,1681949226
12,lompoc,34.6391,-120.4579,295.81,64,20,11.18,US,1681949028
13,bilibino,68.0546,166.4372,271.96,84,100,1.43,RU,1681949037
14,las margaritas,16.3167,-91.9833,296.68,40,72,5.19,MX,1681949229
15,tiksi,71.6872,128.8694,252.95,99,100,2.04,RU,1681948986
16,vorgashor,67.5833,63.95,265.73,97,100,3.67,RU,1681949041
17,georgetown,5.4112,100.3354,299.11,94,40,2.68,MY,1681949129
18,kapuskasing,49.4169,-82.4331,272.05,88,100,3.62,CA,1681949232
19,blackmans bay,-43.0167,147.3167,287.44,77,97,3.29,AU,1681948999
20,port-cartier,50.0334,-66.8654,274.68,97,100,0.72,CA,1681949233
21,invercargill,-46.4,168.35,287.87,69,90,1.79,NZ,1681949015
22,olonkinbyen,70.9221,-8.7187,275.47,87,58,10.9,SJ,1681949041
23,udachny,66.4167,112.4,262.29,72,99,1.91,RU,1681949179
24,vega de alatorre,20.0333,-96.6333,299.61,85,60,3.12,MX,1681949235
25,namibe,-15.1961,12.1522,298.31,74,73,1.94,AO,1681949024
26,chonchi,-42.6128,-73.8092,286.71,99,95,0.8,CL,1681949237
27,west island,-12.1568,96.8225,299.14,94,75,5.66,CC,1681949017
28,san antonio de pale,-1.4014,5.6325,301.35,82,99,4.32,GQ,1681949121
29,bredasdorp,-34.5322,20.0403,289.41,67,100,2.12,ZA,1681949026
30,margaret river,-33.95,115.0667,287.4,57,0,3.55,AU,1681949006
31,talnakh,69.4865,88.3972,258.82,96,95,3.31,RU,1681949105
32,iqaluit,63.7506,-68.5145,266.0,85,100,0.0,CA,1681948923
33,alofi,-19.0595,-169.9187,299.58,78,100,2.33,NU,1681949241
34,papatowai,-46.5619,169.4708,288.34,69,63,0.51,NZ,1681949020
35,constantia,44.1833,28.65,283.54,94,100,5.86,RO,1681949243
36,waddan,29.1614,16.139,293.67,24,0,5.36,LY,1681949245
37,ancud,-41.8697,-73.8203,285.81,96,92,1.93,CL,1681949246
38,san sebastian de la gomera,28.0916,-17.1133,292.8,72,0,1.03,ES,1681949246
39,tamanrasset,22.785,5.5228,293.1,12,0,0.0,DZ,1681949247
40,ribeira grande,38.5167,-28.7,285.25,73,70,2.24,PT,1681949067
41,stanley,54.868,-1.6985,279.2,94,0,2.06,GB,1681949027
42,kencong,-8.2833,113.3667,298.78,85,73,0.95,ID,1681949250
43,kone,-21.0595,164.8658,301.42,63,0,1.02,NC,1681949201
44,nar'yan-mar,67.6713,53.087,273.06,97,100,5.83,RU,1681949251
45,tazacorte,28.629,-17.9293,292.69,86,100,2.57,ES,1681949252
46,codrington,-38.2667,141.9667,287.83,75,92,4.26,AU,1681949065
47,codajas,-3.8367,-62.0569,298.18,90,99,1.29,BR,1681948996
48,dhromolaxia,34.8755,33.5868,290.96,88,0,6.69,CY,1681949118
49,talcahuano,-36.7167,-73.1167,287.97,88,0,1.54,CL,1681949255
50,hawaiian paradise park,19.5933,-154.9731,299.76,90,40,6.69,US,1681949117
51,albany,42.6001,-73.9662,277.8,69,93,3.84,US,1681948669
52,palompon,11.0508,124.3843,301.81,72,77,1.59,PH,1681949256
53,aykhal,66.0,111.5,262.65,96,99,2.23,RU,1681949257
54,sassandra,4.95,-6.0833,299.32,90,97,2.46,CI,1681949257
55,hovd,48.0056,91.6419,270.07,31,0,3.48,MN,1681949194
56,jamestown,42.097,-79.2353,279.95,61,0,4.12,US,1681948981
57,oroqen zizhiqi,50.5667,123.7167,272.42,87,100,4.37,CN,1681949258
58,yuktae-dong,40.0247,128.1597,286.39,64,100,5.37,KP,1681949259
59,linxia chengguanzhen,35.6003,103.2064,281.07,32,29,1.37,CN,1681949259
60,touros,-5.1989,-35.4608,299.49,83,97,4.14,BR,1681949260
61,squamish,49.7014,-123.1512,284.66,67,97,3.58,CA,1681949261
62,atafu village,-8.5421,-172.5159,301.51,69,96,1.39,TK,1681949047
63,bontang,0.1333,117.5,299.82,83,98,0.76,ID,1681949262
64,la palma,33.8464,-118.0467,296.29,46,20,6.17,US,1681949262
65,phan thiet,10.9333,108.1,300.47,83,87,2.59,VN,1681949263
66,qarauyl,48.9451,79.255,266.58,69,0,1.74,KZ,1681949263
67,bethel,41.3712,-73.414,285.34,56,0,1.54,US,1681948986
68,lebu,-37.6167,-73.65,285.73,94,78,6.55,CL,1681949002
69,hasaki,35.7333,140.8333,293.27,88,100,1.92,JP,1681949051
70,la passe,45.5549,-0.8967,286.28,87,1,4.01,FR,1681949168
71,punta arenas,-53.15,-70.9167,279.21,75,20,10.8,CL,1681948954
72,karratha,-20.7377,116.8463,297.27,34,1,9.73,AU,1681949059
73,ushuaia,-54.8,-68.3,278.96,70,75,10.8,AR,1681948905
74,la ronge,55.1001,-105.2842,272.98,78,100,5.37,CA,1681949266
75,puerto natales,-51.7236,-72.4875,281.04,81,78,4.62,CL,1681948935
76,hampton bays,40.869,-72.5176,284.36,71,63,2.32,US,1681949238
77,tumaco,1.7986,-78.8156,299.61,83,98,3.07,CO,1681949268
78,thompson,55.7435,-97.8558,274.24,47,75,6.17,CA,1681948820
79,puerto francisco de orellana,-0.4667,-76.9667,296.36,96,88,0.75,EC,1681948992
80,leava,-14.3,-178.1667,300.83,77,100,5.06,WF,1681949269
81,puerto madero,14.7208,-92.4215,304.26,70,20,4.12,MX,1681949269
82,tshabong,-26.05,22.45,291.67,26,7,5.16,BW,1681949270
83,qaqortoq,60.7167,-46.0333,272.89,92,83,0.93,GL,1681949044
84,turbat,26.0023,63.044,298.77,50,72,1.28,PK,1681949272
85,pandan,14.0453,124.1694,301.01,84,14,3.13,PH,1681949272
86,longyearbyen,78.2186,15.6401,262.06,79,20,2.06,SJ,1681949047
87,carnarvon,-24.8667,113.6333,296.42,44,78,7.26,AU,1681949015
88,baile herculane,44.8797,22.4125,280.99,95,69,2.07,RO,1681949274
89,santana,-0.0583,-51.1817,300.25,89,0,3.6,BR,1681949274
90,richards bay,-28.783,32.0377,293.07,84,0,5.7,ZA,1681949275
91,kapit,2.0167,112.9333,298.57,91,83,0.22,MY,1681949275
92,noosa heads,-26.3833,153.15,297.65,62,50,9.15,AU,1681949060
93,shache,38.4167,77.2406,284.16,38,100,8.5,CN,1681949089
94,mount gambier,-37.8333,140.7667,288.51,74,99,2.82,AU,1681949029
95,siwa oasis,29.2041,25.5195,290.91,49,0,4.35,EG,1681949278
96,galliano,29.4422,-90.2992,297.15,60,0,2.57,US,1681949279
97,nova xavantina,-14.6667,-52.35,296.57,93,94,1.39,BR,1681949023
98,fort bragg,35.139,-79.006,299.06,35,0,2.57,US,1681949199
